text,label
"Dear user, your account has been compromised. Click here to verify your login details: http://fakebank.com/login","phishing"
"Important notice: Update your password immediately at http://secure-update.com","phishing"
"Congratulations! You have won a lottery. Claim your prize at http://lottery-claim.net","phishing"
"Your bank account needs verification. Please provide your credentials.","phishing"
"Verify your PayPal account by clicking the link below.","phishing"
"Urgent: Your credit card has been suspended. Reactivate now.","phishing"
"Security alert: unusual login detected. Reset your password here.","phishing"
"Exclusive promotion: Get 70% off on branded shoes. Click here to claim.","phishing"
"Special offer from Amazon: Claim your free gift card now.","phishing"
"Your UPI account requires re‑verification. Enter your PIN to continue.","phishing"
"Government notice: Submit your Aadhaar details immediately to avoid account freeze.","phishing"
"PAN card update required. Click here to upload scanned copy.","phishing"
"Your Google Drive storage is full. Click here to clean space.","phishing"
"Your OneDrive account has been locked. Verify credentials to unlock.","phishing"
"Salary credited: Please click here to view your statement.","phishing"
"Your salary has been credited. Download the attached PDF to confirm.","phishing"
"Bank alert: Salary credited. Verify your account details immediately.","phishing"
"Meeting scheduled tomorrow at 10 AM. Please confirm your attendance.","safe"
"Your Amazon order has been shipped and will arrive by Friday.","safe"
"Reminder: Doctor appointment at 5 PM today.","safe"
"Monthly newsletter: Latest updates from our company.","safe"
"Your friend has shared photos with you. View them in your drive.","safe"
"Team lunch scheduled for Friday afternoon.","safe"
"Invoice attached for your recent purchase.","safe"
"Bank statement for August is attached.","safe"
"Your child’s school has shared the timetable for next week.","safe"
"Internal HR update: New leave policy effective from next month.","safe"
"Salary credited to your account. Please check your bank app.","safe"
"Payroll processed successfully. Salary credited today.","safe"
